time,q0,q1,q2,q3,omega_x,omega_y,omega_z,Total_torque_x,Total_torque_y,Total_torque_z
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.9999999999999998,2.099076406381192e-08,0.0,0.0,8.396305625524767e-08,0.0,0.0,0.0,0.0,0.0
2.0,0.9999999999999966,8.396305625524758e-08,0.0,0.0,1.6792611251049535e-07,0.0,0.0,0.0,0.0,0.0
3.0,0.9999999999999822,1.8891687657430615e-07,0.0,0.0,2.5188916876574305e-07,0.0,0.0,0.0,0.0,0.0
4.0,0.9999999999999437,3.358522250209844e-07,0.0,0.0,3.358522250209907e-07,0.0,0.0,0.0,0.0,0.0
5.0,0.9999999999998624,5.247691015952739e-07,0.0,0.0,4.1981528127623835e-07,0.0,0.0,0.0,0.0,0.0
6.0,0.9999999999997145,7.556675062971569e-07,0.0,0.0,5.03778337531486e-07,0.0,0.0,0.0,0.0,0.0
7.0,0.9999999999994711,1.0285474391266026e-06,0.0,0.0,5.877413937867336e-07,0.0,0.0,0.0,0.0,0.0
8.0,0.9999999999990977,1.3434089000835588e-06,0.0,0.0,6.717044500419813e-07,0.0,0.0,0.0,0.0,0.0
9.0,0.9999999999985547,1.7002518891679462e-06,0.0,0.0,7.556675062972289e-07,0.0,0.0,0.0,0.0,0.0
10.0,0.9999999999977971,2.0990764063796504e-06,0.0,0.0,8.396305625524766e-07,0.0,0.0,0.0,0.0,0.0
11.0,0.9999999999967745,2.539882451718511e-06,0.0,0.0,9.235936188077242e-07,0.0,0.0,0.0,0.0,0.0
12.0,0.9999999999954318,3.0226700251843134e-06,0.0,0.0,1.007556675062972e-06,0.0,0.0,0.0,0.0,0.0
13.0,0.9999999999937079,3.5474391267767736e-06,0.0,0.0,1.0915197313182196e-06,0.0,0.0,0.0,0.0,0.0
14.0,0.9999999999915368,4.114189756495529e-06,0.0,0.0,1.1754827875734673e-06,0.0,0.0,0.0,0.0,0.0
15.0,0.999999999988847,4.7229219143401225e-06,0.0,0.0,1.259445843828715e-06,0.0,0.0,0.0,0.0,0.0
16.0,0.999999999985562,5.373635600309989e-06,0.0,0.0,1.3434089000839626e-06,0.0,0.0,0.0,0.0,0.0
17.0,0.9999999999815998,6.066330814404436e-06,0.0,0.0,1.4273719563392102e-06,0.0,0.0,0.0,0.0,0.0
18.0,0.9999999999768732,6.8010075566226315e-06,0.0,0.0,1.5113350125944579e-06,0.0,0.0,0.0,0.0,0.0
19.0,0.9999999999712895,7.577665826963581e-06,0.0,0.0,1.5952980688497055e-06,0.0,0.0,0.0,0.0,0.0
20.0,0.9999999999647511,8.396305625426111e-06,0.0,0.0,1.6792611251049532e-06,0.0,0.0,0.0,0.0,0.0
21.0,0.9999999999571547,9.256926952008848e-06,0.0,0.0,1.7632241813602008e-06,0.0,0.0,0.0,0.0,0.0
22.0,0.9999999999483921,1.0159529806710194e-05,0.0,0.0,1.8471872376154485e-06,0.0,0.0,0.0,0.0,0.0
23.0,0.9999999999383494,1.1104114189528309e-05,0.0,0.0,1.9311502938706963e-06,0.0,0.0,0.0,0.0,0.0
24.0,0.9999999999269078,1.2090680100461082e-05,0.0,0.0,2.015113350125944e-06,0.0,0.0,0.0,0.0,0.0
25.0,0.9999999999139431,1.311922753950611e-05,0.0,0.0,2.0990764063811916e-06,0.0,0.0,0.0,0.0,0.0
26.0,0.9999999998993255,1.418975650666067e-05,0.0,0.0,2.1830394626364393e-06,0.0,0.0,0.0,0.0,0.0
27.0,0.9999999998829204,1.5302267001921688e-05,0.0,0.0,2.267002518891687e-06,0.0,0.0,0.0,0.0,0.0
28.0,0.9999999998645877,1.645675902528572e-05,0.0,0.0,2.3509655751469346e-06,0.0,0.0,0.0,0.0,0.0
